v8-version,8,4,371,19,-node.17,0
code-creation,Builtin,3,2982,0x13c7060,12,CallSitePrototypeIsPromiseAll
code-creation,Builtin,3,2987,0x13c7080,12,CallSitePrototypeIsToplevel
code-creation,Builtin,3,2991,0x13c70a0,12,CallSitePrototypeToString
code-creation,Builtin,3,2996,0x13c70c0,12,ConsoleDebug
code-creation,Builtin,3,3000,0x13c70e0,12,ConsoleError
code-creation,Builtin,3,3004,0x13c7100,12,ConsoleInfo
code-creation,Builtin,3,3008,0x13c7120,12,ConsoleLog
code-creation,Builtin,3,3011,0x13c7140,12,ConsoleWarn
code-creation,Builtin,3,3015,0x13c7160,12,ConsoleDir
code-creation,Builtin,3,3019,0x13c7180,12,ConsoleDirXml
code-creation,Builtin,3,3023,0x13c71a0,12,ConsoleTable
code-creation,Builtin,3,3027,0x13c71c0,12,ConsoleTrace
code-creation,Builtin,3,3030,0x13c71e0,12,ConsoleGroup
code-creation,Builtin,3,3034,0x13c7200,12,ConsoleGroupCollapsed
code-creation,Builtin,3,3039,0x13c7220,12,ConsoleGroupEnd
code-creation,Builtin,3,3043,0x13c7240,12,ConsoleClear
code-creation,Builtin,3,3047,0x13c7260,12,ConsoleCount
code-creation,Builtin,3,3050,0x13c7280,12,ConsoleCountReset
code-creation,Builtin,3,3055,0x13c72a0,12,ConsoleAssert
code-creation,Builtin,3,3058,0x13c72c0,12,ConsoleProfile
code-creation,Builtin,3,3062,0x13c72e0,12,ConsoleProfileEnd
code-creation,Builtin,3,3066,0x13c7300,12,ConsoleTime
code-creation,Builtin,3,3070,0x13c7320,12,ConsoleTimeLog
code-creation,Builtin,3,3074,0x13c7340,12,ConsoleTimeEnd
code-creation,Builtin,3,3078,0x13c7360,12,ConsoleTimeStamp
code-creation,Builtin,3,3082,0x13c7380,12,ConsoleContext
code-creation,Builtin,3,3086,0x13c73a0,12,DataViewConstructor
code-creation,Builtin,3,3090,0x13c73c0,12,DateConstructor
code-creation,Builtin,3,3094,0x13c73e0,238,DatePrototypeGetDate
code-creation,Builtin,3,3098,0x13c74e0,238,DatePrototypeGetDay
code-creation,Builtin,3,3102,0x13c75e0,238,DatePrototypeGetFullYear
code-creation,Builtin,3,3106,0x13c76e0,238,DatePrototypeGetHours
code-creation,Builtin,3,3110,0x13c77e0,206,DatePrototypeGetMilliseconds
code-creation,Builtin,3,3115,0x13c78c0,238,DatePrototypeGetMinutes
code-creation,Builtin,3,3119,0x13c79c0,238,DatePrototypeGetMonth
code-creation,Builtin,3,3124,0x13c7ac0,238,DatePrototypeGetSeconds
code-creation,Builtin,3,3128,0x13c7bc0,142,DatePrototypeGetTime
code-creation,Builtin,3,3132,0x13c7c60,206,DatePrototypeGetTimezoneOffset
code-creation,Builtin,3,3137,0x13c7d40,206,DatePrototypeGetUTCDate
code-creation,Builtin,3,3141,0x13c7e20,206,DatePrototypeGetUTCDay
code-creation,Builtin,3,3145,0x13c7f00,206,DatePrototypeGetUTCFullYear
code-creation,Builtin,3,3150,0x13c7fe0,206,DatePrototypeGetUTCHours
code-creation,Builtin,3,3154,0x13c80c0,206,DatePrototypeGetUTCMilliseconds
code-creation,Builtin,3,3158,0x13c81a0,206,DatePrototypeGetUTCMinutes
code-creation,Builtin,3,3162,0x13c8280,206,DatePrototypeGetUTCMonth
code-creation,Builtin,3,3167,0x13c8360,206,DatePrototypeGetUTCSeconds
code-creation,Builtin,3,3171,0x13c8440,142,DatePrototypeValueOf
code-creation,Builtin,3,3175,0x13c84e0,460,DatePrototypeToPrimitive
code-creation,Builtin,3,3180,0x13c86c0,12,DatePrototypeGetYear
code-creation,Builtin,3,3184,0x13c86e0,12,DatePrototypeSetYear
code-creation,Builtin,3,3188,0x13c8700,12,DateNow
code-creation,Builtin,3,3192,0x13c8720,12,DateParse
code-creation,Builtin,3,3196,0x13c8740,12,DatePrototypeSetDate
code-creation,Builtin,3,3201,0x13c8760,12,DatePrototypeSetFullYear
code-creation,Builtin,3,3205,0x13c8780,12,DatePrototypeSetHours
code-creation,Builtin,3,3209,0x13c87a0,12,DatePrototypeSetMilliseconds
code-creation,Builtin,3,3216,0x13c87c0,12,DatePrototypeSetMinutes
